#Rank,CustomerId,Surname,Balance,CreditScore,Gender,Age,HasCrCard,EstimatedSalary
1,15806771,Yefremova,3769,753,Female,40,1,177065
2,15713774,Chikwendu,12459,644,Female,46,0,156787
3,15776467,De Salis,14263,702,Female,35,1,54689
4,15741416,Yegorov,16894,707,Male,42,1,77503
5,15669011,Bocharova,23503,659,Female,44,0,169862
6,15800083,Macdonald,24043,559,Male,45,0,169781
7,15674156,Tretiakova,27288,810,Male,69,1,110510
8,15715638,Ch'ang,27517,824,Male,77,0,2746
9,15690925,McIntosh,27756,527,Female,29,1,97468
10,15594878,Thompson,28083,661,Female,41,1,69586
11,15598485,Pinto,28650,567,Male,40,1,95141
12,15649292,Bellucci,29602,748,Female,49,0,163551
13,15627830,Nikitina,32198,640,Female,30,0,141446
14,15574761,Lynch,33564,466,Female,41,1,178994
15,15677371,Ko,34014,629,Female,30,1,19571
16,15693906,Abbott,34548,645,Female,24,1,11638
17,15798964,Nkemakonam,35017,714,Male,33,1,53667
18,15751032,Enemuo,35550,629,Female,37,0,49676
19,15791172,Yeh,35742,672,Female,21,1,28790
20,15629338,Collingridge de T,36567,658,Female,31,1,103645
21,15592979,Rose,37267,671,Female,34,0,156917
22,15743976,Archer,37703,618,Male,41,1,195775
23,15773283,Dennis,38340,641,Male,65,1,32608
24,15752622,Kerr,38550,729,Female,32,0,179230
25,15679394,Owen,38617,651,Female,41,1,104877
26,15602811,Chioke,38848,730,Male,38,0,94003
27,15763662,Longo,39043,711,Male,43,1,175424
28,15611186,Yevdokimova,39345,609,Male,37,1,178292
29,15754929,Douglas,39539,757,Male,31,0,192519
30,15684042,Blair,40106,636,Male,34,0,53512
31,15682834,Johnstone,40170,715,Female,35,1,199857
32,15672875,Piccio,40173,584,Male,32,1,137439
33,15624428,Longo,40225,651,Female,24,1,178341
34,15576124,Muravyova,40489,582,Male,41,1,128529
35,15804771,Velazquez,40686,614,Male,51,1,46775
36,15612350,Taylor,40916,691,Female,31,1,126214
37,15734044,Black,41299,671,Female,31,0,102681
38,15740345,Osborne,41473,657,Male,42,1,112980
39,15569807,Ejimofor,42157,673,Female,34,1,20599
40,15665008,Sidorov,42713,805,Female,26,1,28862
41,15615254,Clark,43029,555,Male,40,1,170514
42,15658449,Chizoba,43135,695,Male,45,0,77330
43,15618647,Kornilova,43504,744,Male,29,1,119328
44,15642816,De Salis,43658,850,Female,27,1,3025
45,15582129,Hsia,43773,517,Male,62,1,187756
46,15813412,Barlow,44021,721,Female,55,1,65864
47,15767064,Davide,44055,614,Female,36,1,73329
48,15635364,Gray,44301,618,Female,49,1,89729
49,15569249,Howarth,44582,576,Female,55,0,67540
50,15613713,Kozlova,44929,644,Male,30,1,10771
51,15750839,Burns,45022,649,Male,29,1,173496
52,15743007,Seabrook,45144,643,Female,45,1,60917
53,15658946,Piccio,45409,579,Male,40,1,18733
54,15603749,Galkina,45472,564,Female,53,1,41056
55,15753110,McKay,45753,720,Male,64,1,79623
56,15686743,Moody,46058,790,Male,29,1,189778
57,15660147,Dore,46161,493,Male,32,1,79577
58,15690620,Olisaemeka,46324,665,Male,39,1,136812
59,15593778,Craig,46388,779,Female,29,1,127939
60,15623566,Barnhill,46521,714,Male,40,1,96687
61,15610383,Dumetolisa,46870,628,Female,46,1,31272
62,15669783,Simpson,47021,586,Female,60,0,63241
63,15719856,Lamb,47135,646,Female,45,1,57236
64,15674328,Moreno,47364,670,Female,40,1,148579
65,15680167,Thomson,47536,635,Female,78,1,119400
66,15688157,Padovano,47685,683,Female,39,1,86019
67,15658956,Tuan,47870,505,Male,40,1,155062
68,15582154,Crawford,47885,670,Female,45,1,54340
69,15746695,Wunder,48024,429,Female,39,1,74871
70,15707974,Anayochukwu,48387,815,Female,38,1,184797
71,15704987,Lu,49114,649,Female,52,1,41858
72,15700654,Liardet,49157,617,Male,44,1,53294
73,15812230,Elliot,49509,670,Female,42,1,100324
74,15680920,Marchesi,49513,695,Male,46,1,133007
75,15808175,Castiglione,49573,557,Female,39,1,115288
76,15579526,O'Meara,50195,551,Male,42,1,23400
77,15633897,Owen,50881,725,Male,39,1,184024
78,15624820,Ross,50911,683,Male,56,0,97629
79,15622518,Stephenson,51116,768,Female,26,1,70455
80,15569654,Munro,51293,850,Female,31,0,35535
81,15735263,Hsueh,51523,736,Male,27,0,192132
82,15768449,Ricci,51583,634,Female,37,1,184313
83,15611318,Kruglova,51691,599,Male,33,1,111623
84,15801473,Moore,51950,599,Male,33,1,85046
85,15761717,Ch'ien,51963,720,Male,26,1,45507
86,15567725,Kodilinyechukwu,52016,689,Female,46,1,72994
87,15743478,Johnson,52106,659,Male,39,1,107964
88,15708650,Fullwood,52192,727,Female,31,0,160383
89,15799217,Zetticci,52436,791,Female,35,1,161052
90,15702462,Fiorentini,52831,619,Female,44,1,112649
91,15775433,Tang,53013,666,Male,71,1,112223
92,15664227,Threatt,53054,506,Male,28,0,24577
93,15634143,Onyemauchechi,53292,581,Male,30,0,196582
94,15644686,Kennedy,53300,729,Female,34,1,42856
95,15813645,Hamilton,53369,491,Female,36,1,103934
96,15566139,Ts'ui,53573,526,Female,37,1,62831
97,15771383,Loggia,53667,628,Female,45,1,115023
98,15578799,Anayolisa,53773,625,Female,58,1,192072
99,15758836,Godfrey,54098,675,Male,36,0,54479
100,15575759,Bentley,54428,583,Female,40,1,109639
101,15584766,Knight,54504,557,Male,33,1,371
102,15645103,Su,54818,812,Male,25,1,131660
103,15607178,Welch,54901,850,Male,38,1,140076
104,15647572,Greece,54981,504,Male,34,1,136910
105,15802274,Waters,55054,686,Female,44,1,181757
106,15798895,Okonkwo,55328,525,Female,59,1,83343
107,15781678,Pisani,55733,470,Male,31,1,103793
108,15668971,Nicholson,55776,583,Female,40,1,26920
109,15779581,Bottrill,55853,734,Female,43,0,94812
110,15702014,Jeffrey,56085,555,Male,33,0,178798
111,15630709,Castiglione,56116,619,Female,31,0,2182
112,15726931,Onwumelu,56215,715,Female,41,0,92983
113,15621063,Gibbons,56228,516,Female,42,1,46858
114,15613189,Browne,56581,774,Female,52,1,113266
115,15694188,Obidimkpa,56581,700,Female,46,0,45424
116,15684269,Gray,56674,707,Female,35,1,17987
117,15635143,Fennescey,56727,749,Male,42,0,185543
118,15751203,Cattaneo,56738,702,Male,26,1,100442
119,15780140,Bellucci,57017,435,Male,32,1,5907
120,15661974,Pirozzi,57038,677,Male,46,1,158531
121,15585106,Calabresi,57068,492,Female,38,1,188975
122,15804853,McVey,57099,781,Female,48,1,85644
123,15626491,Hughes,57327,655,Female,45,0,47349
124,15569892,Johnstone,57370,516,Male,35,1,101700
125,15798605,Tien,57423,686,Male,26,1,79189
126,15613102,Ogochukwu,57530,670,Female,31,1,181893
127,15646594,Ali,57569,749,Male,41,1,61128
128,15572360,Clark,57657,683,Male,30,0,79241
129,15600110,Endrizzi,57746,506,Female,41,1,4035
130,15801265,Tang,57784,689,Female,45,1,197804
131,15565779,Kent,57809,627,Female,30,1,188258
132,15611325,Wood,57930,682,Male,24,0,53134
133,15791006,Kodilinyechukwu,58003,760,Female,34,1,90346
134,15705313,Stange,58036,707,Female,33,1,83336
135,15757140,Genovese,58137,787,Male,51,0,142538
136,15759537,Bianchi,58469,717,Male,35,1,172459
137,15747772,Cunningham,58571,706,Male,36,1,40774
138,15677369,Golubov,58630,554,Female,37,0,182039
139,15599433,Fanucci,58641,660,Male,35,0,198674
140,15644724,Fan,58663,472,Male,31,0,73322
141,15763980,Beneventi,58668,632,Male,30,1,78671
142,15598846,Shahan,58782,700,Female,44,1,16875
143,15761076,Lei,58820,507,Male,41,1,138536
144,15791743,Corbett,59272,727,Male,32,1,46019
145,15669290,Fan,59361,603,Male,38,1,191457
146,15674811,Kellway,59386,739,Male,29,1,105534
147,15592300,Mai,59409,543,Male,35,1,76774
148,15584364,Trentini,59486,652,Male,48,1,163944
149,15578648,Marino,59532,543,Male,49,1,104254
150,15665634,Campbell,59569,645,Female,38,1,167723
151,15597930,Wilson,59669,646,Male,52,0,172496
152,15656300,Lucciano,59697,411,Male,29,1,53483
153,15683339,P'eng,59877,656,Female,34,1,14033
154,15673529,Lombardo,59894,645,Male,36,1,44000
155,15717629,Docherty,59972,632,Male,42,0,148173
156,15628863,Calabresi,60014,601,Male,38,1,38020
